RepRapFirmware height map file v2 generated at 2020-05-24 22:38
xmin,xmax,ymin,ymax,radius,xspacing,yspacing,xnum,ynum
10.00,290.00,10.00,290.00,-1.00,14.00,14.00,21,21
 -0.023,  0.005,  0.018,  0.024,  0.029,  0.042,  0.048,  0.059,  0.080,  0.102,  0.123,  0.150,  0.178,  0.201,  0.232,  0.251,  0.284,  0.311,  0.331,  0.352,  0.369
 -0.022,  0.001,  0.023,  0.019,  0.026,  0.043,  0.054,  0.070,  0.087,  0.103,  0.108,  0.128,  0.152,  0.175,  0.193,  0.221,  0.267,  0.279,  0.288,  0.317,  0.319
 -0.033, -0.010,  0.008,  0.010,  0.023,  0.023,  0.033,  0.047,  0.051,  0.084,  0.086,  0.109,  0.136,  0.152,  0.168,  0.197,  0.213,  0.225,  0.248,  0.261,  0.282
 -0.034, -0.019, -0.002,  0.009,  0.017,  0.026,  0.019,  0.027,  0.047,  0.055,  0.068,  0.089,  0.116,  0.137,  0.152,  0.174,  0.186,  0.200,  0.223,  0.238,  0.259
 -0.036, -0.010, -0.002,  0.004,  0.025,  0.023,  0.017,  0.029,  0.052,  0.040,  0.046,  0.074,  0.111,  0.135,  0.137,  0.160,  0.182,  0.180,  0.187,  0.201,  0.215
 -0.040, -0.014, -0.013, -0.006,  0.006,  0.011,  0.010,  0.023,  0.035,  0.043,  0.040,  0.063,  0.101,  0.116,  0.124,  0.143,  0.161,  0.153,  0.166,  0.178,  0.188
 -0.034, -0.023, -0.017, -0.002, -0.007,  0.009,  0.005,  0.006,  0.031,  0.035,  0.031,  0.061,  0.086,  0.094,  0.107,  0.111,  0.127,  0.125,  0.136,  0.142,  0.159
 -0.026, -0.012, -0.014, -0.014, -0.001,  0.010,  0.006,  0.023,  0.028,  0.029,  0.032,  0.045,  0.068,  0.082,  0.101,  0.093,  0.112,  0.112,  0.106,  0.132,  0.139
 -0.010,  0.005, -0.005, -0.002,  0.002,  0.008,  0.019,  0.016,  0.033,  0.041,  0.017,  0.039,  0.059,  0.052,  0.066,  0.085,  0.092,  0.093,  0.100,  0.109,  0.127
  0.005,  0.009,  0.000,  0.004,  0.003,  0.012,  0.007,  0.010,  0.027,  0.017,  0.005,  0.017,  0.031,  0.039,  0.042,  0.052,  0.065,  0.075,  0.068,  0.087,  0.094
  0.013,  0.012,  0.007,  0.000,  0.011,  0.013,  0.007,  0.011,  0.003,  0.010, -0.002, -0.003,  0.021,  0.020,  0.028,  0.036,  0.048,  0.044,  0.053,  0.068,  0.076
  0.018,  0.024,  0.014,  0.012,  0.019,  0.012,  0.010,  0.007,  0.013,  0.003, -0.018,  0.002,  0.027,  0.028,  0.036,  0.048,  0.050,  0.053,  0.057,  0.068,  0.072
  0.004,  0.019,  0.015,  0.002,  0.009,  0.013,  0.015,  0.019,  0.023,  0.007, -0.013,  0.003,  0.022,  0.029,  0.035,  0.049,  0.054,  0.038,  0.046,  0.060,  0.064
  0.011,  0.018,  0.009,  0.003,  0.008,  0.004,  0.008,  0.007,  0.014,  0.012,  0.007,  0.019,  0.029,  0.028,  0.041,  0.054,  0.048,  0.049,  0.059,  0.053,  0.057
  0.028,  0.028,  0.020,  0.014,  0.009,  0.014,  0.015,  0.018,  0.019,  0.008,  0.012,  0.033,  0.040,  0.043,  0.048,  0.056,  0.048,  0.055,  0.057,  0.062,  0.072
  0.064,  0.057,  0.047,  0.031,  0.046,  0.045,  0.042,  0.041,  0.053,  0.044,  0.007,  0.016,  0.036,  0.064,  0.072,  0.067,  0.087,  0.071,  0.065,  0.087,  0.081
  0.079,  0.088,  0.066,  0.051,  0.053,  0.051,  0.043,  0.041,  0.055,  0.051,  0.046,  0.038,  0.046,  0.053,  0.058,  0.076,  0.073,  0.077,  0.080,  0.095,  0.091
  0.116,  0.101,  0.102,  0.094,  0.085,  0.078,  0.091,  0.082,  0.082,  0.072,  0.060,  0.075,  0.081,  0.070,  0.091,  0.094,  0.098,  0.084,  0.082,  0.085,  0.106
  0.135,  0.117,  0.116,  0.111,  0.106,  0.103,  0.102,  0.089,  0.092,  0.102,  0.082,  0.081,  0.094,  0.105,  0.104,  0.109,  0.111,  0.112,  0.093,  0.122,  0.129
  0.151,  0.153,  0.147,  0.143,  0.148,  0.146,  0.132,  0.129,  0.131,  0.128,  0.125,  0.122,  0.129,  0.127,  0.126,  0.133,  0.138,  0.137,  0.141,  0.147,  0.154
  0.175,  0.173,  0.171,  0.170,  0.167,  0.161,  0.154,  0.144,  0.144,  0.143,  0.140,  0.144,  0.146,  0.146,  0.148,  0.152,  0.155,  0.158,  0.157,  0.160,  0.168
